code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,No_of_Clicks,Score,final_result
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,75,Pass
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,1,76,Pass
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,5,62,Pass
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,1,64,Pass
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,5,58,Pass
AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,240,N,1,75,Withdrawn
AAA,2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,220,N,4,67,Withdrawn
AAA,2013J,1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,210,N,22,78,Withdrawn
AAA,2013J,2083877,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,2,72,Pass
AAA,2013J,2104505,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,1,80,Pass
AAA,2013J,2650282,M,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,1,83,Pass
AAA,2014J,52765,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,N,4,67,Pass
AAA,2014J,133922,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,1,78,Pass
AAA,2014J,151587,F,Wales,A Level or Equivalent,0-10%,0-35,0,210,N,3,73,Withdrawn
AAA,2014J,287204,M,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,1,72,Pass
AAA,2014J,315076,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,19,81,Pass
AAA,2014J,410092,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,1,68,Pass
AAA,2014J,623840,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,120,N,2,80,Pass
AAA,2014J,1045203,M,Wales,Lower Than A Level,0-10%,35-55,0,60,N,4,79,Pass
AAA,2014J,1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,N,22,78,Pass
AAA,2014J,2467267,M,West Midlands Region,HE Qualification,0-10%,0-35,0,60,N,1,75,Pass
AAA,2014J,2474849,F,Scotland,A Level or Equivalent,0-10%,35-55,1,240,N,1,35,Withdrawn
AAA,2014J,2692514,M,North Western Region,Lower Than A Level,0-10%,35-55,0,120,N,2,75,Pass
BBB,2013B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,2,220,Y,1,73,Withdrawn
BBB,2013B,34229,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,2,73,Pass
BBB,2013B,126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,1,100,Fail
BBB,2013B,141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,210,N,3,58,Withdrawn
BBB,2013B,153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,210,N,1,83,Withdrawn
BBB,2013B,161678,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,5,40,Fail
BBB,2013B,237304,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,45,Fail
BBB,2013B,242149,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,1,75,Withdrawn
BBB,2013B,262294,F,North Western Region,Lower Than A Level,0-10%,0-35,2,220,Y,1,30,Withdrawn
BBB,2013B,267761,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,N,1,80,Pass
BBB,2013B,339946,F,Ireland,HE Qualification,0-10%,0-35,0,220,N,2,86,Withdrawn
BBB,2013B,353352,F,Scotland,Lower Than A Level,0-10%,35-55,0,120,N,1,55,Fail
